CE,sigla,top,edicoes,nome,h5,NIVEL,sigla2
CE-CCI,3DIC,Eventos da Área,NA,IEEE International 3D Systems Integration Conference,NA,A8,3DIC
CE-GRAPI,3DV,Eventos da Área,NA,International Conference on 3D Vision,56,A1,3DV
CE-LP,<Programming>,Eventos da Área,NA,"International Conference on the Art, Science, and Engineering of Programming",NA,A8,<PROGRAMMING>
CE-IC,AAAI,Top 20,NA,AAAI Conference on Artificial Intelligence,232,A1,AAAI
CE-IHC,AAATE,Eventos da Área,NA,Association for the Advancement of Assistive Technology in Europe Conference,NA,A8,AAATE
CE-IA,AAMAS,Top 10,NA,International Conference on Autonomous Agents and Multiagent Systems,55,A1,AAMAS
CE-IHC,ABCIBER,Eventos da Área,NA,Congresso Brasileiro de Pesquisadores em Cibercultura,NA,A8,ABCIBER
CE-MF,ABZ,Top 20,NA,"International ABZ Conference ASM, Alloy, B, TLA, VDM, Z",0,NA,ABZ
CE-R,ACC,Eventos da Área,NA,American Control Conference,50,A1,ACC
CE-GRAPI,ACCV,Eventos da Área,NA,Asian Conference on Computer Vision,60,A1,ACCV
CE-IHC,ACE,Eventos da Área,NA,International Conference on Advances in Computer Entertainment Technology,NA,A8,ACE
CE-RV,ACE-X,Eventos da Área,NA,International Conference on Advanced Computational Engineering and Experimenting,NA,A8,ACE-X
CE-IHC,ACII,Eventos da Área,NA,International Conference on Affective Computing and Intelligent Interaction,NA,A8,ACII
CE-R,ACIRS,Eventos da Área,NA,Asia-Pacific Conference on Intelligent Robot Systems,9,A6,ACIRS
CE-SI,ACIS,Eventos da Área,NA,Australasian Conference on Information Systems,17,A4,ACIS
CE-SEG,ACISP,Eventos da Área,NA,Australasian Conference on Information Security and Privacy,18,A4,ACISP
CE-GRAPI,ACIVS,Eventos da Área,NA,Advanced Concepts for Intelligent Vision Systems,NA,A8,ACIVS
CE-PLN,ACL,Top 10,NA,Annual Meeting of the Association for Computational Linguistics,236,A1,ACL
CE-IHC,ACM CC,Eventos da Área,NA,Creativity & Cognition,26,A2,ACM CC
CE-IHC,ACM CHI PLAY,Top 20,NA,Annual Symposium on Computer-Human Interaction in Play,NA,A6,ACM CHI PLAY
CE-WEBMEDIA,ACM DocEng,Eventos da Área,NA,ACM Symposium on Document Engineering,NA,A8,ACM DOCENG
CE-IHC,ACM HT,Eventos da Área,NA,ACM Hypertext Conference / Hipertext,NA,A8,ACM HT
CE-WEBMEDIA,ACM IMX,Top 10,NA,ACM International Conference on Interactive Media Experiences,20,A3,ACM IMX
CE-GRAPI,ACM Multimedia,Eventos da Área,NA,ACM International Conference on Multimedia,NA,A8,ACM MULTIMEDIA
CE-IA,ACM-CIKM,Eventos da Área,NA,ACM International Conference on Information and Knowledge Management,NA,A8,ACM-CIKM
CE-RV,ACM-MM,Eventos da Área,NA,ACM International Conference on Multimedia,NA,A8,ACM-MM
CE-RESD,ACMSOCC,Eventos da Área,NA,ACM Symposium on Cloud Computing,39,A1,ACMSOCC
CE-SEG,ACNS,Top 20,NA,Applied Cryptography and Network Security,28,A2,ACNS
CE-R,ACRA,Eventos da Área,NA,Australasian Conference on Robotics and Automation,NA,A8,ACRA
CE-SEG,ACSAC,Top 20,NA,Computer Security Applications Conference,40,A1,ACSAC
CE-BD,ADBIS,Top 20,NA,East European Conference on Advances in Databases and Information Systems,16,A3,ADBIS
CE-RESD,ADHOC-NOW,Eventos da Área,NA,International Conference on Ad-Hoc Networks and Wireless,NA,A8,ADHOC-NOW
CE-SI,AE-SBSI,Top 20,NA,Anais Estendidos do Simpósio Brasileiro de Sistemas de Informação,NA,A6,AE-SBSI
CE-CM,AES,Top 20,NA,International Convention of the Audio Engineering Society,NA,A6,AES
CE-CM,AES Brasil,Eventos da Área,NA,Congresso de Engenharia de Áudio da Audio Engineering Society Brasil.,NA,A8,AES BRASIL
CE-CM,AES-ICSA,Top 20,NA,AES International Conference on Semantic Audio,NA,A6,AES-ICSA
CE-Geoinformática,AGILEGIS,Top 10,NA,Conference on Geographic Information Science,NA,A5,AGILEGIS
CE-RV,AH,Top 10,NA,Augmented Human International Conference,20,A3,AH
CE-SI,AICT,Eventos da Área,NA,International Conference on Application of Information and Communication Technologies,17,A4,AICT
CE-IE,AIED,Top 10,NA,International Conference on Artificial Intelligence in Education,38,A1,AIED
CE-IA,AIIDE,Top 20,NA,AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment,23,A3,AIIDE
CE-R,AIM,Eventos da Área,NA,IEEE/ASME International Conference on Advanced Intelligent Mechatronics,20,A3,AIM
CE-CAS,AIME,Top 20,NA,Conference on Artificial Intelligence in Medicine,19,A3,AIME
GI-L,AIML,TOP 20,NA,Advances in Modal Logic,NA,A6,AIML
CE-TF,AINA,Eventos da Área,NA,IEEE International Conference on Advanced Information Networking and Applications,23,A3,AINA
CE-IA,AISTATS,Top 20,NA,International Conference on Artificial Intelligence and Statistics,101,A1,AISTATS
CE-ES,AIware,Eventos da Área,NA,ACM International Conference on AI-powered Software,NA,A8,AIWARE
CE-RV,AIxVR,Top 20,NA,IEEE International Conference on Artificial Intelligence & eXtended and Virtual Reality,9,A5,AIXVR
CE-ACO,ALENEX,Eventos da Área,NA,SIAM Symposium on Algorithm Engineering and Experiments,NA,A8,ALENEX
CE-ACO,ALIO/EURO,Eventos da Área,NA,Joint ALIO/EURO International Conference on Applied Combinatorial Optimization,NA,A8,ALIO/EURO
CE-RESD,ALLERTON,Eventos da Área,NA,"Allerton Conference on Communication, Control, and Computing",32,A2,ALLERTON
CE-SI,AMCIS,Top 10,NA,Americas Conference on Information Systems,32,A2,AMCIS
CE-Geoinformática,AMD,Eventos da Área,NA,Workshop on Analysis of Movement Data,NA,A8,AMD
CE-CAS,AMIA,Top 10,NA,Annual Symposium of the American Medical Informatics Association,35,A1,AMIA
CE-BD,AMW,Eventos da Área,NA,Alberto Mendelzon International Workshop on Foundations of Data Management,0,NA,AMW
CE-ACO,ANALCO,Eventos da Área,NA,Workshop on Analytic Algorithmics and Combinatorics,NA,A8,ANALCO
CE-RESD,ANCS,Eventos da Área,NA,ACM/IEEE Symposium on Architectures for Networking and Communications Systems,NA,A8,ANCS
CE-CM,ANPPOM,Top 20,NA,Congresso da Associação Nacional de Pesquisa e Pós-Graduação em Música,NA,A6,ANPPOM
CE-CCI,APCCAS,Eventos da Área,NA,IEEE Asia Pacific Conference on Circuits and Systems,16,A4,APCCAS
CE-LP,APLAS,Eventos da Área,NA,Asian Symposium on Programming Languages and Systems,13,A5,APLAS
CE-RESD,APNOMS,Eventos da Área,NA,Asia-Pacific Network Operations and Management Symposium,NA,A8,APNOMS
CE-ACO,APPROX-RANDOM,Top 20,NA,International Conference on Approximation Algorithms for Combinatorial Optimization Problems,19,A3,APPROX-RANDOM
CE-BD,APWEB,Eventos da Área,NA,Asia-Pacific Web Conference,14,A5,APWEB
CE-CCI,ARC,Eventos da Área,NA,International Symposium on Applied Reconfigurable Computing,15,A4,ARC
CE-ACPAD,ARCS,Eventos da Área,NA,International Conference on Architecture of Computing Systems,11,A6,ARCS
CE-SEG,ARES,Top 20,NA,"International Conference on Availability, Reliability and Security",35,A1,ARES
CE-Geoinformática,ARIC,Eventos da Área,NA,International Workshop on Intelligent and Resilient Cities,NA,A8,ARIC
CE-R,ARSO,Eventos da Área,NA,IEEE Workshop on Advanced Robotics and its Social Impacts,0,NA,ARSO
CE-ACPAD,ASAP,Eventos da Área,NA,"IEEE International Conference on Application-specific Systems, Architectures and Processors",20,A3,ASAP
CE-ES,ASE,Top 10,NA,IEEE/ACM International Conference on Automated Software Engineering,57,A1,ASE
CE-SEG,ASIACCS,Top 10,NA,"ACM ASIA Symposium on Information, Computer and Communications Security",39,A1,ASIACCS
CE-SEG,ASIACRYPT,Top 10,NA,Annual International Conference on the Theory and Applications of Cryptology and Information Security,53,A1,ASIACRYPT
CE-SEG,ASID,Eventos da Área,NA,"International Conference on Anti-counterfeiting, Security, and Identification in Communication",11,A6,ASID
CE-WEBMEDIA,ASMS,Eventos da Área,NA,Advanced Satellite Multimedia Systems Conference,0,NA,ASMS
CE-SI,ASONAM,Eventos da Área,NA,IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,36,A1,ASONAM
CE-CCI,ASP-DAC,Top 10,NA,Asia and South Pacific Design Automation Conference,38,A1,ASP-DAC
CE-LP,ASPLOS,Top 20,NA,International Conference on Architectural Support for Programming Languages and Operating Systems,77,A1,ASPLOS
CE-RV,ASPRS,Eventos da Área,NA,Annual Conference and International Lidar Mapping Forum,NA,A8,ASPRS
CE-ES,AST,Eventos da Área,NA,IEEE/ACM International Workshop on Automation of Software Testing,NA,A8,AST
CE-CCI,ASYNC,Top 20,NA,IEEE International Symposium on Asynchronous Circuits and Systems,NA,A6,ASYNC
CE-RESD,ATC,Eventos da Área,NA,USENIX Annual Technical Conference,59,A1,ATC
CE-CM,AUDIOMOSTLY,Top 20,NA,Audio Mostly Conference,NA,A6,AUDIOMOSTLY
CE-RV,AVI,Top 20,NA,International Working Conference on Advanced Visual Interfaces,20,A3,AVI
CE-GRAPI,AVSS,Eventos da Área,NA,IEEE International Conference on Advanced Video and Signal Based Surveillance,31,A2,AVSS
CE-BioComp,AlCoB,Top 20,NA,International Conference on Algorithms for Computational Biology,NA,A6,ALCOB
CE-ACO,AofA,Eventos da Área,NA,"International Conference on Probabilistic, Combinatorial, and Asymptotic Methods in the Analysis of Algorithms",NA,A8,AOFA
CE-CAS,BCB,Top 10,NA,"ACM International Conference on Bioinformatics, Computational Biology, and Health Informatics",28,A2,BCB
CE-IHC,BCS-HCI,Eventos da Área,NA,Conference of the British Computer Society Human Computer Interaction Specialist Group,NA,A8,BCS-HCI
CE-BD,BDCLOUD,Eventos da Área,NA,International Conference on Big Data and Cloud Computing,7,A7,BDCLOUD
CE-SC,BESC,Eventos da Área,NA,"International Conference on Behavior, Economic and Social Computing",NA,A8,BESC
CE-CAS,BHI,Top 10,NA,International Conference on Biomedical and Health Informatics,NA,A5,BHI
CE-BioComp,BIATA,Top 20,NA,Bioinformatics: from Algorithms to Applications,NA,A6,BIATA
CE-BioComp,BIBE,Top 10,NA,IEEE International Conference on BioInformatics and BioEngineering,NA,A5,BIBE
CE-BioComp,BIBM,Top 10,NA,IEEE International Conference on Bioinformatics and Biomedicine,33,A2,BIBM
CE-BD,BIGDATASERVICE,Eventos da Área,NA,IEEE International Conference on Big Data Computing Service and Applications,18,A4,BIGDATASERVICE
CE-GRAPI,BIGMM,Eventos da Área,NA,IEEE International Conference on Multimedia Big Data,22,A3,BIGMM
CE-SI,BIS,Eventos da Área,NA,International Conference on Business Information Systems,17,A4,BIS
CE-WEBMEDIA,BMSB,Eventos da Área,NA,IEEE International Symposium on Broadband Multimedia Systems and Broadcasting,17,A4,BMSB
CE-GRAPI,BMVC,Eventos da Área,NA,British Machine Vision Conference,77,A1,BMVC
CE-SI,BPM,Top 10,NA,International Conference on Business Process Management,33,A2,BPM
CE-SI,BPMS2,Eventos da Área,NA,Workshop on Social and Human Aspects of Business Process Management,NA,A8,BPMS2
CE-IA,BRACIS,Top 10,12,Brazilian Conference on Intelligent Systems,18,A3,BRACIS
CE-R,BRAHUR*,Eventos da Área,NA,Brazilian Humanoid Robot Workshop,NA,A8,BRAHUR*
CE-R,BRASERO*,Eventos da Área,NA,Brazilian Workshop on Service Robotics,NA,A8,BRASERO*
CE-BioComp,BSB,Top 20,16,Brazilian Symposium on Bioinformatics,NA,A5,BSB
CE-CAS,BSN,Top 20,NA,IEEE-EMBS International Conference on Wearable and Implantable Body Sensor Networks,NA,A6,BSN
CE-GRAPI,BTAS,Eventos da Área,NA,"IEEE International Conference on Biometrics: Theory, Applications, and Systems",34,A2,BTAS
CE-BD,BigDataSE,Eventos da Área,NA,IEEE International Conference On Big Data Science And Engineering,NA,A8,BIGDATASE
CE-Geoinformática,BigSpatial,Eventos da Área,NA,ACM SIGSPATIAL International Workshop on Analytics for Big Geospatial Data,NA,A8,BIGSPATIAL
CE-R,BioRob*,Top 20,NA,IEEE RAS & EMBS International Conference on Biomedical Robotics and Biomechatronics,NA,A6,BIOROB*
CE-ES,BotSE,Eventos da Área,NA,International Workshop on Bots in Software Engineering,NA,A8,BOTSE
CE-BD,BreSci,Eventos da Área,17,Brazilian e-Science Workshop,NA,A5,BRESCI
CE-SC,C&T,Top 10,NA,International Conference on Communities and Technologies,NA,A5,C&T
CE-MF,CADE/IJCAR,Top 20,NA,International Conference on Automated Deduction,NA,A6,CADE/IJCAR
CE-ES,CAIN,Eventos da Área,NA,International Conference on AI Engineering – Software Engineering for AI,NA,A8,CAIN
CE-GRAPI,CAIP,Top 20,NA,International Conference on Computer Analysis of Images and Patterns,16,A3,CAIP
CE-ACO,CALDAM,Eventos da Área,NA,International Conference on Algorithms and Discrete Applied Mathematics,13,A5,CALDAM
CE-RESD,CAMAD,Eventos da Área,NA,IEEE International Workshop on Computer Aided Modeling and Design of Communication Links and Networks,25,A2,CAMAD
CE-SEG,CANS,Eventos da Área,NA,International Conference on Cryptology and Network Security,17,A4,CANS
CE-JOGOS,CASA,Top 20,NA,Conference on Computer Animation and Social Agents,NA,A6,CASA
CE-R,CASE,Top 10,NA,IEEE Conference on Automation Science and Engineering,30,A2,CASE
CE-ACPAD,CASES,Eventos da Área,NA,"International Conference on Compilers, Architecture, and Synthesis for Embedded Systems",0,NA,CASES
CE-IE,CATE,Eventos da Área,NA,Computers and Advanced Technology in Education,NA,A8,CATE
CE-MF,CAV,Top 10,NA,International Conference on Computer Aided Verification,44,A1,CAV
CE-RV,CBA,Eventos da Área,NA,Congresso Brasileiro de Automática,8,A7,CBA
CE-R,CBA*,Eventos da Área,NA,Congresso Brasileiro de Automática,NA,A8,CBA*
CE-RV,CBEB,Eventos da Área,NA,Congresso Brasileiro de Engenharia Biomédica,NA,A8,CBEB
CE-SI,CBI,Top 20,NA,IEEE Conference on Business Informatics,24,A3,CBI
CE-IA,CBIC,Eventos da Área,NA,Congresso Brasileiro de Inteligência Computacional,NA,A8,CBIC
CE-CAS,CBIS,Eventos da Área,NA,Congresso Brasileiro de Informática em Saúde,NA,A8,CBIS
CE-GRAPI,CBMI,Eventos da Área,NA,International Workshop on Content-Based Multimedia Indexing,16,A4,CBMI
CE-CAS,CBMS,Top 10,NA,International Symposium on Computer-Based Medical Systems,25,A2,CBMS
CE-R,CBS,Eventos da Área,NA,IEEE International Conference on Cyborg and Bionic Systems,11,A6,CBS
CE-ES,CBSoft,Eventos da Área,NA,Brazilian Conference on Software: Theory and Practice,NA,A8,CBSOFT
CE-CAS,CBTMS,Eventos da Área,NA,Congresso Brasileiro de Telemedicina e Telesaúde,NA,A8,CBTMS
CE-LP,CC,Top 10,NA,International Conference on Compiler Construction,NA,A5,CC
CE-ACO,CCC,Top 20,NA,IEEE Conference on Computational Complexity,22,A3,CCC
CE-RESD,CCNC,Eventos da Área,NA,Annual IEEE Consumer Communications & Networking Conference,34,A2,CCNC
CE-SEG,CCS,Top 10,NA,ACM Symposium on Computer and Communications Security,98,A1,CCS
CE-Geoinformática,CCSI,Eventos da Área,NA,Workshop on Core Computations on Spatial Information,NA,A8,CCSI
CE-R,CDC,Eventos da Área,NA,IEEE Conference on Decision and Control,49,A1,CDC
CE-SC,CDVE,Top 20,NA,"International Conference on Cooperative Design, Visualization, and Engineering",NA,A6,CDVE
CE-IC,CEC,Top 10,NA,IEEE Congress on Evolutionary Computation,94,A1,CEC
CE-SI,CEDEM,Eventos da Área,NA,International Conference on eDemocracy & eGovernment (ICEDEG),NA,A8,CEDEM
CE-IE,CELDA,Eventos da Área,NA,Cognition and Exploratory Learning in Digital Age,NA,A8,CELDA
CE-SI,CENTERIS,Eventos da Área,NA,Conference on ENTERprise Information Systems,NA,A8,CENTERIS
CE-GRAPI,CGI,Top 20,NA,Computer Graphics International Conference,11,A5,CGI
CE-LP,CGO,Top 10,NA,International Symposium on Code Generation and Optimization,26,A2,CGO
CE-GRAPI,CGVCVIP,Eventos da Área,NA,"International Conference on Computer Graphics, Visualization, Computer Vision and Image Processing",NA,A8,CGVCVIP
CE-SC,CHASE,Top 20,NA,International Workshop on Cooperative and Human Aspects of Software Engineering,NA,A6,CHASE
CE-SEG,CHES,Eventos da Área,NA,Conference on Cryptographic Hardware and Embedded Systems,NA,A8,CHES
CE-IHC,CHI,Top 10,NA,ACM SIGKDD Conference on Knowledge Discovery and Data Mining,NA,A5,CHI
CE-BD,CHIIR,Eventos da Área,NA,Conference on Human Information Interaction and Retrieval,29,A2,CHIIR
CE-JOGOS,CHIPlay,Top 10,NA,ACM SIGCHI Annual Symposium on Computer-Human Interaction in Play,34,A2,CHIPLAY
CE-ACO,CIAC,Eventos da Área,NA,International Conference on Algorithms and Complexity,0,NA,CIAC
CE-GRAPI,CIARP,Top 20,NA,Iberoamerican Congress on Pattern Recognition,13,A4,CIARP
CE-BioComp,CIBCB,Top 10,NA,IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology,14,A3,CIBCB
CE-SC,CIC,Top 20,NA,International Conference on Collaboration and Internet Computing,NA,A6,CIC
CE-CCI,CICC,Eventos da Área,NA,IEEE Custom Integrated Circuits Conference,30,A2,CICC
CE-IHC,CIDI,Eventos da Área,NA,Congresso Internacional de Design da Informação,NA,A8,CIDI
CE-BD,CIDM,Eventos da Área,NA,Symposium on Computational Intelligence and Data Mining,0,NA,CIDM
CE-BD,CIDR,Top 10,NA,Biennial Conference on Innovative Data Systems Research,36,A1,CIDR
CE-IA,CIG,Eventos da Área,NA,IEEE Conference on Computational Intelligence and Games,31,A2,CIG
CE-BD,CIKM,Top 10,NA,ACM International Conference on Information and Knowledge Management,81,A1,CIKM
CE-RV,CILAMCE,Eventos da Área,NA,Iberian Latin American Congress on Computational Methods,8,A7,CILAMCE
CE-RV,CIMENICS,Eventos da Área,NA,International Congress on Numerical Methods in Engineering and Applied Sciences,NA,A8,CIMENICS
CE-SI,CISIM,Eventos da Área,NA,International Conference on Computer Information Systems and Industrial Management,NA,A8,CISIM
CE-SI,CISTI,Eventos da Área,NA,Iberian Conference on Information Systems and Technologies,24,A3,CISTI
CE-SI,CIT,Eventos da Área,NA,IEEE International Conference on Computer and Information Technology,NA,A8,CIT
CE-SI,CITS,Eventos da Área,NA,"International Conference on Computer, Information, and Telecommunication Systems",15,A4,CITS
CE-ES,CIbSE,Top 20,NA,Conferencia Iberoamericana de Software Engineering,11,A5,CIBSE
CE-PLN,CL,Top 20,NA,Corpus Linguistics Conference,NA,A6,CL
CE-ACO,CLAIO,Eventos da Área,NA,Latin-Ibero-American Conference on Operations Research,NA,A8,CLAIO
CE-PLN,CLEF,Eventos da Área,NA,Conference and Labs of the Evaluation Forum,NA,A8,CLEF
CE-ES,CLEI,Eventos da Área,NA,Conferencia Latinoamericana de Informática,12,A5,CLEI
CE-IHC,CLIHC,Eventos da Área,NA,Latin American Conference on Human Computer Interaction,7,A7,CLIHC
CE-BD,CLOSER,Top 20,NA,International Conference on Cloud Computing and Services Science,19,A3,CLOSER
CE-SI,CLOUD,Eventos da Área,NA,IEEE International Conference on Cloud Computing,34,A2,CLOUD
CE-SI,CLOUDTECH,Eventos da Área,NA,International Conference on Cloud Computing Technologies and Applications,NA,A8,CLOUDTECH
CE-ACPAD,CLUSTER,Eventos da Área,NA,IEEE International Conference on Cluster Computing,24,A3,CLUSTER
CE-CAS,CMBBE,Eventos da Área,NA,International Symposium on Computer Methods in Biomechanics and Biomedical Engineering,NA,A8,CMBBE
CE-CM,CMMR,Top 10,NA,International Symposium on Computer Music Multidisciplinary Research,NA,A5,CMMR
CE-RV,CMN,Eventos da Área,NA,Congress on Numerical Methods in Engineering,NA,A8,CMN
CE-ACO,CNMAC,Eventos da Área,NA,Congresso Nacional de Matemática Aplicada e Computacional,NA,A8,CNMAC
CE-SEG,CNS,Eventos da Área,NA,IEEE Conference on Communications and Network Security,26,A2,CNS
CE-RESD,CNSM,Eventos da Área,NA,International Conference on Network and Service Management,22,A3,CNSM
CE-ACO,COCOA,Eventos da Área,NA,International Conference on Combinatorial Optimization and Applications,9,A6,COCOA
CE-ACO,COCOON,Eventos da Área,NA,International Computing and Combinatorics Conference,12,A5,COCOON
CE-SEG,CODASPY,Eventos da Área,NA,ACM Conference on Data and Application Security and Privacy,28,A2,CODASPY
CE-CCI,CODES+ISSS,Eventos da Área,NA,IEEE/ACM/IFIP International Conference on Hardware/Software Codesign and System Synthesis,NA,A8,CODES+ISSS
CE-SI,COGSCI,Eventos da Área,NA,Annual Meeting of the Cognitive Science Society,36,A1,COGSCI
CE-PLN,COLING,Top 10,NA,International Conference on Computational Linguistics,81,A1,COLING
CE-IA,COLT,Top 20,NA,Conference on Learning Theory,74,A1,COLT
CE-IHC,COMPSAC,Eventos da Área,NA,IEEE Computer Software and Applications Conference,32,A2,COMPSAC
CE-RESD,COMSNETS,Eventos da Área,NA,International Conference on Communication Systems & NetworkS,NA,A8,COMSNETS
CE-MF,CONCUR,Top 20,NA,International Conference on Concurrency Theory,19,A3,CONCUR
CE-RESD,CONEXT,Top 10,NA,Conference on Emerging Network Experiment and Technology,31,A2,CONEXT
CE-SI,CONTECSI,Eventos da Área,NA,International Conference on Information Systems and Technology Management,NA,A8,CONTECSI
CE-Geoinformática,COSIT,Top 10,NA,International Conference on Spatial Information Theory,0,NA,COSIT
CE-ACO,CP,Top 20,NA,International Conference on Principles and Practice of Constraint Programming,20,A3,CP
CE-ACO,CPAIOR,Eventos da Área,NA,"International Conference on Integration of Constraint Programming, Artificial Intelligence, and Operations Research",NA,A8,CPAIOR
CE-LP,CPP,Top 20,NA,International Conference on Certified Programs and Proofs,23,A3,CPP
CE-WEBMEDIA,CRIWG,Eventos da Área,NA,International Workshop on Groupware,0,NA,CRIWG
CE-IE,CRTL+E,Eventos da Área,NA,Congresso sobre Tecnologias na Educação,8,A7,CRTL+E
CE-R,CRV,Eventos da Área,NA,Canadian Conference on Computer and Robot Vision,22,A3,CRV
CE-SEG,CRYPTO,Top 10,NA,International Cryptology Conference,66,A1,CRYPTO
CE-IHC,CSBC,Eventos da Área,NA,Congresso da Sociedade Brasileira de Computação,NA,A8,CSBC
CE-BioComp,CSBIO,Top 20,NA,International Conference on Computational Systems-Biology and Bioinformatics,NA,A6,CSBIO
CE-IE,CSCL,Top 20,NA,International Conference on Computer Supported Collaborative Learning,14,A4,CSCL
CE-RESD,CSCN,Eventos da Área,NA,IEEE Conference on Standards for Communications and Networking,21,A3,CSCN
CE-IHC,CSCW,Top 20,NA,ACM Conference on Computer Supported Cooperative Work & Social Computing,48,A1,CSCW
CE-IHC,CSCWD,Top 20,NA,IEEE International Conference on Computer Supported Cooperative Work in Design,23,A3,CSCWD
CE-ACPAD,CSE,Eventos da Área,NA,International Conference on Computational Science and Engineering,19,A4,CSE
CE-IE,CSEDU,Top 10,NA,International Conference on Computer Supported Education,25,A2,CSEDU
CE-IE,CSEE&T,Eventos da Área,NA,Conference on Software Engineering Education and Training,13,A5,CSEE&T
CE-SEG,CSF,Top 20,NA,IEEE Computer Security Foundations Symposium,NA,A6,CSF
GI-L,CSL,TOP 10,NA,Conference for Computer Science Logic,19,A3,CSL
CE-CM,CSMC,Top 20,NA,Conference on Computer Simulation of Musical Creativity,NA,A6,CSMC
CE-ACO,CTW,Eventos da Área,NA,Cologne-Twente Workshop on Graphs and Combinatorial Optimization,NA,A8,CTW
CE-GRAPI,CVPR,Eventos da Área,NA,IEEE Conference on Computer Vision and Pattern Recognition,450,A1,CVPR
CE-GRAPI,CVPRW,Top 10,NA,IEEE Conference on Computer Vision and Pattern Recognition Workshops,117,A1,CVPRW
CE-IHC,CapaIHC,Eventos da Área,NA,"Workshop CAPA - Culturas, Alteridades e Participações em IHC",NA,A8,CAPAIHC
CE-SI,CloudNet,Eventos da Área,NA,IEEE International Conference on Cloud Networking,18,A4,CLOUDNET
CE-Geoinformática,CoARCH,Eventos da Área,NA,Workshop On Computing Techniques For Spatio-Temporal Data in Archaeology And Cultural Heritage,NA,A8,COARCH
CE-JOGOS,CoG,Top 10,NA,Conference on Games,NA,A5,COG
CE-PLN,CoNLL,Top 10,NA,Conference on Natural Language Learning,44,A1,CONLL
CE-R,CoRL,Top 10,NA,Conference on Robot Learning,107,A1,CORL
CE-SC,CollaborateCom,Top 20,NA,"International Conference on Collaborative Computing: Networking, Applications and Worksharing",NA,A6,COLLABORATECOM
CE-EDUCOMP,CompEd,TOP 20,NA,ACM Conference on Global Computing Education,12,A4,COMPED
CE-SI,CoopIS,Eventos da Área,NA,International Conference on Cooperative Information Systems,NA,A8,COOPIS
CE-CCI,DAC,Top 10,NA,Design Automation Conference,60,A1,DAC
CE-CM,DAFX,Top 10,NA,International Conference on Digital Audio Effects,NA,A5,DAFX
CE-BD,DAMON,Eventos da Área,NA,International Workshop on Data Management on New Hardware,NA,A8,DAMON
CE-R,DARS*,Eventos da Área,NA,International Symposium on Distributed Autonomous Robotic Systems,NA,A8,DARS*
CE-BD,DASFAA,Top 20,NA,International Conference on Database Systems for Advanced Applications,23,A3,DASFAA
CE-SI,DATA,Eventos da Área,NA,"International Conference on Data Science, Technology and Applications",NA,A8,DATA
CE-CCI,DATE,Top 10,NA,"Design, Automation and Test in Europe Conference and Exhibition",49,A1,DATE
CE-BD,DAWAK,Eventos da Área,NA,International Conference on Big Data Analytics and Knowledge Discovery,13,A5,DAWAK
CE-SEG,DBSec,Eventos da Área,NA,IFIP WG 11.3 Conference on Data and Applications Security and Privacy,15,A4,DBSEC
CE-CM,DCASE,Eventos da Área,NA,Workshop on Detection and Classification of Acoustic Scenes and Events,NA,A8,DCASE
CE-RESD,DCOSS,Eventos da Área,NA,International Conference on Distributed Computing in Sensor Systems,25,A2,DCOSS
CE-ACPAD,DDECS,Eventos da Área,NA,IEEE International Symposium on Design and Diagnostics of Electronic Circuits and Systems,12,A5,DDECS
CE-RESD,DEBS,Eventos da Área,NA,International Conference on Distributed and Event-Based Systems,20,A3,DEBS
CE-TF,DEPCOS,Eventos da Área,NA,International Conference on Dependability and Complex Systems,NA,A8,DEPCOS
CE-BD,DEXA,Top 20,NA,International Conference on Database and Expert Systems Applications,18,A3,DEXA
CE-TF,DFT,Top 20,NA,IEEE International Symposium on Defect and Fault Tolerance in VLSI Systems,16,A3,DFT
CE-CCI,DFTVS,Eventos da Área,NA,IEEE International Symposium on Defect and Fault Tolerance of VLSI Systems,16,A4,DFTVS
CE-SI,DG.O,Top 20,NA,Annual International Conference on Digital Government Research,NA,A6,DG.O
CE-GRAPI,DGMM,Top 10,NA,Discrete Geometry and Mathematical Morphology (DGMM = DGCI+ISMM desde 2021),10,A4,DGMM
CE-BD,DGO,Eventos da Área,NA,Annual International Conference on Digital Government Research,27,A2,DGO
CE-SI,DH,Eventos da Área,NA,Digital Heritage,NA,A8,DH
CE-GRAPI,DICTA,Eventos da Área,NA,International Conference on Digital Image Computing Techniques and Applications,22,A3,DICTA
CE-IHC,DIS,Top 10,NA,Conference on Designing Interactive Systems,54,A1,DIS
CE-TF,DISC,Top 10,NA,International Symposium on Distributed Computing,24,A3,DISC
CE-LP,DLS,Eventos da Área,NA,Dynamic Languages Symposium,NA,A8,DLS
CE-ACO,DM,Eventos da Área,NA,SIAM Conference on Discrete Mathematics,NA,A8,DM
CE-IA,DMIN,Eventos da Área,NA,International Conference on Data Mining,53,A1,DMIN
CE-IHC,DOCENG,Eventos da Área,NA,ACM Symposium on Document Engineering,14,A5,DOCENG
CE-BD,DOING,Eventos da Área,NA,Intelligent Data - From Data to Knowledge Workshop,NA,A8,DOING
CE-BD,DOLAP,Eventos da Área,NA,International Workshop On Data Warehousing and OLAP,NA,A8,DOLAP
CE-BD,DPM,Eventos da Área,NA,International Workshop on Data Privacy Management,NA,A8,DPM
