CE,sigla,top,edicoes,nome,h5,NIVEL,sigla2
CE-CAS,MICCAI,Top 10,NA,International Conference on Medical Image Computing and Computer Assisted Intervention,98,A1,MICCAI
CE-ACPAD,MICRO,Top 10,NA,IEEE/ACM International Symposium on Microarchitecture,61,A1,MICRO
CE-CAS,MIE,Top 20,NA,Medical Informatics Europe,35,A1,MIE
CE-JOGOS,MIG,Top 10,NA,ACM Siggraph Conference on Motion in Games,17,A3,MIG
CE-GRAPI,MLDM,Eventos da Área,NA,International Conference on Machine Learning and Data Mining in Pattern Recognition,NA,A8,MLDM
CE-WEBMEDIA,MM,Top 10,NA,ACM Multimedia Conference,119,A1,MM
CE-R,MMAR,Eventos da Área,NA,International Conference on Methods and Models in Automation and Robotics,15,A4,MMAR
CE-WEBMEDIA,MMM,Top 20,NA,International Conference on Multimedia Modelling,26,A2,MMM
CE-CM,MMRP,Top 20,NA,International Workshop on Multilayer Music Representation and Processing,NA,A6,MMRP
CE-WEBMEDIA,MMSP,Eventos da Área,NA,International Workshop on Multimedia and Signal Processing,26,A2,MMSP
CE-R,MNR,Eventos da Área,NA,Mostra Nacional de Robótica,NA,A8,MNR
CE-RESD,MOBICOM,Top 10,NA,ACM/IEEE International Conference on Mobile Computing and Networking,57,A1,MOBICOM
CE-RESD,MOBIHOC,Top 20,NA,ACM International Symposium on Mobile Ad Hoc Networking and Computing,25,A2,MOBIHOC
CE-ES,MOBILESoft,Eventos da Área,NA,International Conference on Mobile Software Engineering and Systems,NA,A8,MOBILESOFT
CE-RESD,MOBIWAC,Eventos da Área,NA,ACM International Symposium on Mobility Management and Wireless Access,NA,A8,MOBIWAC
CE-ES,MODELS,Eventos da Área,NA,International Conference on Model Driven Engineering Languages and Systems,31,A2,MODELS
CE-ES,MODRE,Eventos da Área,NA,International Model-Driven Requirements Engineering,NA,A8,MODRE
CE-R,MRS*,Eventos da Área,NA,International Symposium on Multi-Robot and Multi-Agent Systems,NA,A8,MRS*
CE-RESD,MSN,Eventos da Área,NA,International Conference on Mobile Ad-Hoc and Sensor Networks,19,A4,MSN
CE-ES,MSR,Top 10,NA,Working Conference on Mining Software Repositories,46,A1,MSR
